img_name,label,xmin,ymin,xmax,ymax
0.png,0,60,115,200,190
1.png,0,100,100,230,250
2.png,0,150,70,200,225
3.png,0,120,125,250,220
4.png,0,100,80,225,240
5.png,0,80,100,250,240
6.png,0,100,145,250,250
7.png,0,0,25,110,145
8.png,0,10,115,55,250
9.png,0,170,0,240,150
10.png,0,150,10,250,100
11.png,0,40,50,210,220
12.png,0,20,75,210,170
13.png,0,30,100,130,205
14.png,0,70,45,225,180
15.png,0,140,104,250,241
16.png,0,96,123,210,225
17.png,0,27,30,135,150
18.png,0,5,110,95,228
19.png,0,113,113,247,242
20.png,0,15,20,235,240
21.png,0,30,10,150,246
22.png,0,20,25,220,240
23.png,0,55,45,190,205
24.png,0,5,20,250,160
25.png,0,20,80,230,220
26.png,0,25,100,240,190
27.png,0,45,5,250,240
28.png,0,25,10,200,240
29.png,0,40,50,230,190
30.png,0,75,10,240,240
31.png,0,90,45,230,220
32.png,0,105,40,150,200
33.png,0,15,90,230,250
34.png,0,20,45,240,215
35.png,0,35,60,220,200
36.png,0,50,95,200,210
37.png,0,110,10,190,80
38.png,0,60,60,200,200
39.png,0,20,50,210,215
40.png,0,56,115,196,190
41.png,0,60,115,200,190
42.png,0,60,115,200,190
43.png,0,115,56,190,196
44.png,0,26,100,156,250
45.png,0,100,100,230,250
46.png,0,100,100,230,250
47.png,0,100,26,250,156
48.png,0,56,70,106,225
49.png,0,150,70,200,225
50.png,0,150,70,200,225
51.png,0,70,56,225,106
52.png,0,6,125,136,220
53.png,0,120,125,250,220
54.png,0,120,125,250,220
55.png,0,125,6,220,136
56.png,0,31,80,156,240
57.png,0,100,80,225,240
58.png,0,100,80,225,240
59.png,0,80,31,240,156
60.png,0,6,100,176,240
61.png,0,80,100,250,240
62.png,0,80,100,250,240
63.png,0,100,6,240,176
64.png,0,6,145,156,250
65.png,0,100,145,250,250
66.png,0,100,145,250,250
67.png,0,145,6,250,156
68.png,0,146,25,256,145
69.png,0,0,25,110,145
70.png,0,0,25,110,145
71.png,0,25,146,145,256
72.png,0,201,115,246,250
73.png,0,10,115,55,250
74.png,0,10,115,55,250
75.png,0,115,201,250,246
76.png,0,16,0,86,150
77.png,0,170,0,240,150
78.png,0,170,0,240,150
79.png,0,0,16,150,86
80.png,0,6,10,106,100
81.png,0,150,10,250,100
82.png,0,150,10,250,100
83.png,0,10,6,100,106
84.png,0,46,50,216,220
85.png,0,40,50,210,220
86.png,0,40,50,210,220
87.png,0,50,46,220,216
88.png,0,46,75,236,170
89.png,0,20,75,210,170
90.png,0,20,75,210,170
91.png,0,75,46,170,236
92.png,0,126,100,226,205
93.png,0,30,100,130,205
94.png,0,30,100,130,205
95.png,0,100,126,205,226
96.png,0,31,45,186,180
97.png,0,70,45,225,180
98.png,0,70,45,225,180
99.png,0,45,31,180,186
100.png,0,6,104,116,241
101.png,0,140,104,250,241
102.png,0,140,104,250,241
103.png,0,104,6,241,116
104.png,0,46,123,160,225
105.png,0,96,123,210,225
106.png,0,96,123,210,225
107.png,0,123,46,225,160
108.png,0,121,30,229,150
109.png,0,27,30,135,150
110.png,0,27,30,135,150
111.png,0,30,121,150,229
112.png,0,161,110,251,228
113.png,0,5,110,95,228
114.png,0,5,110,95,228
115.png,0,110,161,228,251
116.png,0,9,113,143,242
117.png,0,113,113,247,242
118.png,0,113,113,247,242
119.png,0,113,9,242,143
120.png,0,21,20,241,240
121.png,0,15,20,235,240
122.png,0,15,20,235,240
123.png,0,20,21,240,241
124.png,0,106,10,226,246
125.png,0,30,10,150,246
126.png,0,30,10,150,246
127.png,0,10,106,246,226
128.png,0,36,25,236,240
129.png,0,20,25,220,240
130.png,0,20,25,220,240
131.png,0,25,36,240,236
132.png,0,66,45,201,205
133.png,0,55,45,190,205
134.png,0,55,45,190,205
135.png,0,45,66,205,201
136.png,0,6,20,251,160
137.png,0,5,20,250,160
138.png,0,5,20,250,160
139.png,0,20,6,160,251
140.png,0,26,80,236,220
141.png,0,20,80,230,220
142.png,0,20,80,230,220
143.png,0,80,26,220,236
144.png,0,16,100,231,190
145.png,0,25,100,240,190
146.png,0,25,100,240,190
147.png,0,100,16,190,231
148.png,0,6,5,211,240
149.png,0,45,5,250,240
150.png,0,45,5,250,240
151.png,0,5,6,240,211
152.png,0,56,10,231,240
153.png,0,25,10,200,240
154.png,0,25,10,200,240
155.png,0,10,56,240,231
156.png,0,26,50,216,190
157.png,0,40,50,230,190
158.png,0,40,50,230,190
159.png,0,50,26,190,216
160.png,0,16,10,181,240
161.png,0,75,10,240,240
162.png,0,75,10,240,240
163.png,0,10,16,240,181
164.png,0,26,45,166,220
165.png,0,90,45,230,220
166.png,0,90,45,230,220
167.png,0,45,26,220,166
168.png,0,106,40,151,200
169.png,0,105,40,150,200
170.png,0,105,40,150,200
171.png,0,40,106,200,151
172.png,0,26,90,241,250
173.png,0,15,90,230,250
174.png,0,15,90,230,250
175.png,0,90,26,250,241
176.png,0,16,45,236,215
177.png,0,20,45,240,215
178.png,0,20,45,240,215
179.png,0,45,16,215,236
180.png,0,36,60,221,200
181.png,0,35,60,220,200
182.png,0,35,60,220,200
183.png,0,60,36,200,221
184.png,0,56,95,206,210
185.png,0,50,95,200,210
186.png,0,50,95,200,210
187.png,0,95,56,210,205
188.png,0,66,10,146,80
189.png,0,110,10,190,80
190.png,0,110,10,190,80
191.png,0,10,66,80,146
192.png,0,56,60,196,200
193.png,0,60,60,200,200
194.png,0,60,60,200,200
195.png,0,60,56,200,196
196.png,0,46,50,236,215
197.png,0,20,50,210,215
198.png,0,20,50,210,215
199.png,0,50,46,215,236
